id,term,english,category,alphabet_index,korean_initial,definition,detailed_explanation,related_concepts,source_files,exam_note,known_status,last_reviewed,review_count
CS-001,인수 테스트,Acceptance Test,소프트웨어공학,A,ㅇ,사용자나 발주자가 시스템을 인수해도 되는지 실제 업무 요구사항 충족 여부를 확인하는 최종 검증 테스트입니다.,의미: 인수 테스트는 개발팀 관점의 오류 검출을 넘어 사용자나 발주자가 실제 업무에 쓸 수 있는지 확인하는 최종 검증 단계입니다. 요구사항 충족 여부가 판단 기준입니다. 동작/활용: 실무에서는 변경 비용을 줄이고 결함을 조기에 발견하며 팀이 같은 구조와 절차로 개발하도록 돕습니다.,"[[통합 테스트]], [[시스템 테스트]], [[블랙박스 테스트]], [[화이트박스 테스트]], [[테스트]]",11-02-02-단위-통합-인수테스트.md; 05-14-29-한국은행-2026-컴퓨터공학-학술-4-소프트웨어-공학.md; 11-소프트웨어공학.md,"소프트웨어공학 문제에서는 인수 테스트의 정의만 쓰지 말고 관련 개념(통합 테스트, 시스템 테스트, 블랙박스 테스트)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",O,2026-07-07T20:59:09+09:00,4
CS-002,접근통제,Access Control,보안,A,ㅈ,사용자나 프로세스가 자원에 접근할 수 있는지 정책에 따라 제한하는 보안 메커니즘입니다.,의미: 접근통제는 누가 어떤 자원에 접근할 수 있는지를 확인하고 제한하는 권한 관리 개념입니다. 신원 확인과 권한 부여를 분리해서 이해하는 것이 중요합니다. 동작/활용: 실무에서는 공격 표면을 줄이고 사고를 예방·탐지·대응하기 위한 통제와 점검 항목으로 연결됩니다.,"[[인증]], [[인가]], [[DAC]], [[MAC]], [[암호화]]",19-1-코스콤-자소서.md; 02-01-기본-전제와-일정.md; 19-3-금융결제원-자소서.md,"보안 문제에서는 접근통제의 정의만 쓰지 말고 관련 개념(인증, 인가, DAC)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,,0
CS-003,정확도,Accuracy,인공지능·데이터,A,ㅈ,전체 예측 중 맞춘 예측의 비율을 나타내는 분류 평가 지표입니다.,"의미: 정확도는 모델이 실제 문제를 얼마나 잘 맞히는지 판단하기 위한 데이터 분리 또는 평가 기준입니다. 어떤 오류를 더 중요하게 보는지에 따라 선택이 달라집니다. 동작/활용: 실무에서는 데이터 준비, 모델 학습, 성능 평가, 운영 중 모니터링과 리스크 관리 기준으로 쓰입니다.","[[테스트 데이터]], [[혼동 행렬]], [[정밀도]], [[재현율]], [[머신러닝]]",05-14-33-한국은행-2026-컴퓨터공학-학술-8-머신-러닝.md; 03-08-한국은행-컴퓨터공학-면접-질문-2025.md,"인공지능·데이터 문제에서는 정확도의 정의만 쓰지 말고 관련 개념(테스트 데이터, 혼동 행렬, 정밀도)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,,0
CS-004,ACID,ACID,데이터베이스,A,A,"트랜잭션이 지켜야 하는 원자성, 일관성, 고립성, 지속성의 네 가지 성질입니다.","의미: ACID는 여러 사용자의 변경 작업과 장애 상황에서도 데이터 결과를 믿을 수 있게 만드는 거래 처리 개념입니다. 핵심은 일부만 반영되거나 동시 실행 때문에 값이 꼬이는 일을 막는 것입니다. 동작/활용: 실무에서는 테이블 설계, SQL 작성, 인덱스 튜닝, 트랜잭션 처리, 장애 복구에서 이 개념이 직접 사용됩니다.","[[종속성 보존]], [[트랜잭션]], [[원자성]], [[일관성]], [[SQL]]",02-01-기본-전제와-일정.md; 05-14-10-한국은행-2024-컴퓨터공학-학술-파트-I.md; 07-04-트랜잭션과-회복.md,"데이터베이스 문제에서는 ACID의 정의만 쓰지 말고 관련 개념(종속성 보존, 트랜잭션, 원자성)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,,0
CS-005,AES,AES,보안,A,A,블록 단위 데이터를 대칭키로 암호화하는 표준 알고리즘으로 빠르고 안전해 저장 데이터와 통신 암호화에 널리 쓰입니다.,의미: AES는 같은 비밀키로 데이터를 블록 단위 암호화하는 대표적인 대칭키 암호 알고리즘입니다. 빠른 처리와 강한 기밀성 때문에 저장 데이터와 통신 암호화에 널리 쓰입니다. 동작/활용: 실무에서는 공격 표면을 줄이고 사고를 예방·탐지·대응하기 위한 통제와 점검 항목으로 연결됩니다.,"[[대칭키 암호화]], [[비대칭키 암호화]], [[RSA]], [[SHA]], [[인증]]",04-04-네트워크-프로토콜-보안.md; 03-08-한국은행-컴퓨터공학-면접-질문-2025.md; 05-02-기업은행-기출.md,"보안 문제에서는 AES의 정의만 쓰지 말고 관련 개념(대칭키 암호화, 비대칭키 암호화, RSA)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,,0
CS-006,애자일,Agile,소프트웨어공학,A,ㅇ,"짧은 반복 주기, 고객 협업, 변화 수용을 중시해 동작하는 소프트웨어를 점진적으로 완성하는 개발 접근법입니다.","의미: 애자일은 개발 과정을 어떤 흐름과 반복 구조로 운영할지 정하는 방법론 또는 실행 방식입니다. 변경 대응, 피드백 주기, 자동화 수준이 차이를 만듭니다. 동작/활용: 실무에서는 변경 비용을 줄이고 결함을 조기에 발견하며 팀이 같은 구조와 절차로 개발하도록 돕습니다.","[[프로토타입 모델]], [[나선형 모델]], [[스크럼]], [[스프린트]], [[테스트]]",05-08-산업은행-기출.md; 05-03-대구은행-기출.md; 05-14-14-한국은행-2025-컴퓨터공학-학술-4-소프트웨어-공학.md,"소프트웨어공학 문제에서는 애자일의 정의만 쓰지 말고 관련 개념(프로토타입 모델, 나선형 모델, 스크럼)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,,0
CS-007,AIMD,AIMD,네트워크,A,A,혼잡이 없을 때 윈도우를 선형 증가시키고 혼잡 시 절반으로 줄이는 TCP 혼잡 제어 원리입니다.,"의미: AIMD는 종단 간 데이터 전송의 신뢰성, 순서, 속도 조절, 연결 상태를 설명하는 개념입니다. 빠른 전송과 안정적 전송 중 무엇을 보장하는지 확인해야 합니다. 동작/활용: 실무에서는 장애 구간을 계층별로 분리하고 패킷 흐름, 주소 변환, 연결 상태, 암호화 여부를 확인할 때 사용됩니다.","[[Go-Back-N]], [[Selective Repeat]], [[Slow Start]], [[HTTP]], [[TCP]]",05-06-예탁결제원-기출.md,"네트워크 문제에서는 AIMD의 정의만 쓰지 말고 관련 개념(Go-Back-N, Selective Repeat, Slow Start)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,,0
CS-008,대체키,Alternate Key,데이터베이스,A,ㄷ,후보키 중 기본키로 선택되지 않은 나머지 키입니다.,"의미: 대체키는 테이블의 행을 구별하거나 테이블 사이의 관계를 안전하게 이어 주는 기준입니다. 어떤 속성이 중복을 막고 어떤 속성이 다른 테이블을 가리키는지 판단할 때 쓰입니다. 동작/활용: 실무에서는 테이블 설계, SQL 작성, 인덱스 튜닝, 트랜잭션 처리, 장애 복구에서 이 개념이 직접 사용됩니다.","[[후보키]], [[기본키]], [[외래키]], [[복합키]], [[SQL]]",보강 개념(페이지 직접 언급 없음),"데이터베이스 문제에서는 대체키의 정의만 쓰지 말고 관련 개념(후보키, 기본키, 외래키)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,,0
CS-009,ALU,ALU,컴퓨터구조,A,A,"덧셈, 뺄셈, 논리 연산, 비교 같은 산술논리 연산을 수행하는 CPU 구성 요소입니다.","의미: ALU는 CPU 내부에서 산술 연산과 논리 연산을 실제로 수행하는 계산 장치입니다. 제어장치가 지시한 연산을 레지스터의 값에 적용합니다. 동작/활용: 실무에서는 성능 병목, 캐시 효율, 병렬화 한계, 하드웨어 자원 사용량을 설명하는 근거가 됩니다.","[[컴퓨터구조]], [[CPU]], [[제어장치]], [[레지스터]], [[캐시]]",05-03-대구은행-기출.md; 04-04-네트워크-프로토콜-보안.md; 02-08-하루-루틴과-주간-점검표.md,"컴퓨터구조 문제에서는 ALU의 정의만 쓰지 말고 관련 개념(컴퓨터구조, CPU, 제어장치)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,,0
CS-010,AML,AML,금융IT·신기술,A,A,"자금세탁을 방지하기 위해 고객 확인, 거래 모니터링, 의심거래 보고를 수행하는 규제 체계입니다.","의미: AML는 금융 업무나 규제 준수, 고객 서비스를 기술로 자동화·고도화하는 개념입니다. 효율성 향상과 규제·보안 리스크를 함께 판단해야 합니다. 동작/활용: 실무에서는 금융 안정성, 보안, 규제 준수, 이용자 보호와 기술 효율성을 함께 판단하는 기준이 됩니다.","[[로보어드바이저]], [[이상거래탐지]], [[KYC]], [[디지털 트윈]], [[전자금융]]",16-인공지능-기계학습.md; 18-2-RegTech.md; 04-01-빅데이터-블록체인-머신러닝.md,"금융IT·신기술 문제에서는 AML의 정의만 쓰지 말고 관련 개념(로보어드바이저, 이상거래탐지, KYC)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,,0
